2022-08-01 15:09:59.190+05:30 | main | INFO  | Besu | Using LibEthPairings native alt bn128
2022-08-01 15:09:59.192+05:30 | main | INFO  | Besu | Using the native implementation of the signature algorithm
2022-08-01 15:09:59.195+05:30 | main | INFO  | Besu | Starting Besu version: besu/v22.4.4/linux-x86_64/openjdk-java-11
2022-08-01 15:09:59.652+05:30 | main | INFO  | Besu | Engine API authentication enabled without key file. Expect ephemeral jwt.hex file in datadir
2022-08-01 15:09:59.654+05:30 | main | INFO  | Besu | Static Nodes file = /home/diane-lockhart/Desktop/HLF_Mentorship/eth-connector/scripts/QBFT-Network/Node-1/data/static-nodes.json
2022-08-01 15:09:59.655+05:30 | main | INFO  | StaticNodesParser | StaticNodes file /home/diane-lockhart/Desktop/HLF_Mentorship/eth-connector/scripts/QBFT-Network/Node-1/data/static-nodes.json does not exist, no static connections will be created.
2022-08-01 15:09:59.655+05:30 | main | INFO  | Besu | Connecting to 0 static nodes.
2022-08-01 15:09:59.658+05:30 | main | INFO  | Besu | Security Module: localfile
2022-08-01 15:09:59.676+05:30 | main | INFO  | RocksDBKeyValueStorageFactory | No existing database detected at /home/diane-lockhart/Desktop/HLF_Mentorship/eth-connector/scripts/QBFT-Network/Node-1/data. Using version 1
2022-08-01 15:10:00.113+05:30 | main | INFO  | KeyPairUtil | Loaded public key 0xdde471980142fceae4e2749dd67e88d7a4eca0d7474d385ea75f3525e79712073f34c027361251972b1654854d9a8de6a969213fe50ed7ab8a6d79bd878a88aa from /home/diane-lockhart/Desktop/HLF_Mentorship/eth-connector/scripts/QBFT-Network/Node-1/data/key
2022-08-01 15:10:00.318+05:30 | main | INFO  | ProtocolScheduleBuilder | Protocol schedule created with milestones: [London: 0]
2022-08-01 15:10:00.447+05:30 | main | INFO  | BesuControllerBuilder | TTD difficulty is not present, creating initial sync phase for PoW
2022-08-01 15:10:00.482+05:30 | main | INFO  | RunnerBuilder | Detecting NAT service.
2022-08-01 15:10:00.588+05:30 | main | INFO  | Runner | Starting external services ... 
2022-08-01 15:10:00.589+05:30 | main | INFO  | JsonRpcHttpService | Starting JSON-RPC service on 0.0.0.0:8545
2022-08-01 15:10:00.685+05:30 | vert.x-eventloop-thread-1 | INFO  | JsonRpcHttpService | JSON-RPC service started and listening on 0.0.0.0:8545
2022-08-01 15:10:00.689+05:30 | main | INFO  | AutoTransactionLogBloomCachingService | Starting auto transaction log bloom caching service.
2022-08-01 15:10:00.691+05:30 | main | INFO  | LogBloomCacheMetadata | Lookup cache metadata file in data directory: /home/diane-lockhart/Desktop/HLF_Mentorship/eth-connector/scripts/QBFT-Network/Node-1/data/caches
2022-08-01 15:10:00.700+05:30 | main | INFO  | Runner | Starting Ethereum main loop ... 
2022-08-01 15:10:00.701+05:30 | main | INFO  | NatService | No NAT environment detected so no service could be started
2022-08-01 15:10:00.701+05:30 | main | INFO  | NetworkRunner | Starting Network.
2022-08-01 15:10:00.715+05:30 | nioEventLoopGroup-2-1 | INFO  | RlpxAgent | P2P RLPx agent started and listening on /0:0:0:0:0:0:0:0:30303.
2022-08-01 15:10:00.715+05:30 | main | INFO  | PeerDiscoveryAgent | Starting peer discovery agent on host=0.0.0.0, port=30303
2022-08-01 15:10:00.751+05:30 | vert.x-eventloop-thread-1 | INFO  | VertxPeerDiscoveryAgent | Started peer discovery agent successfully, on effective host=0:0:0:0:0:0:0:0%0 and port=30303
2022-08-01 15:10:00.753+05:30 | vert.x-eventloop-thread-1 | INFO  | PeerDiscoveryAgent | P2P peer discovery agent started and listening on /0:0:0:0:0:0:0:0%0:30303
2022-08-01 15:10:00.800+05:30 | vert.x-eventloop-thread-1 | INFO  | PeerDiscoveryAgent | Writing node record to disk. NodeRecord{seq=1, publicKey=0x02dde471980142fceae4e2749dd67e88d7a4eca0d7474d385ea75f3525e7971207, udpAddress=Optional[/127.0.0.1:30303], tcpAddress=Optional[/127.0.0.1:30303], asBase64=-Je4QJsf86q3JtKMzH6zzjFs4oyF52j3BiXueLb7CuNBuWN6VjQpT_HeRD8D0ruY6ClQZXgxI5dd5PsdH6jED0kMMscBg2V0aMfGhAH6E5mAgmlkgnY0gmlwhH8AAAGJc2VjcDI1NmsxoQLd5HGYAUL86uTidJ3WfojXpOyg10dNOF6nXzUl55cSB4N0Y3CCdl-DdWRwgnZf, nodeId=0x6a052e15039e70cdebc8da57027717ea886fa5aeacab5ac15204f9016c1e5146, customFields={tcp=30303, udp=30303, ip=0x7f000001, eth=[[0x01fa1399, 0x]], id=V4, secp256k1=0x02dde471980142fceae4e2749dd67e88d7a4eca0d7474d385ea75f3525e7971207}}
2022-08-01 15:10:00.821+05:30 | main | INFO  | DefaultP2PNetwork | Enode URL enode://dde471980142fceae4e2749dd67e88d7a4eca0d7474d385ea75f3525e79712073f34c027361251972b1654854d9a8de6a969213fe50ed7ab8a6d79bd878a88aa@127.0.0.1:30303
2022-08-01 15:10:00.821+05:30 | main | INFO  | DefaultP2PNetwork | Node address 0x027717ea886fa5aeacab5ac15204f9016c1e5146
2022-08-01 15:10:00.823+05:30 | main | INFO  | DefaultSynchronizer | Starting synchronizer.
2022-08-01 15:10:00.825+05:30 | main | INFO  | FullSyncDownloader | Starting full sync.
2022-08-01 15:10:00.825+05:30 | main | INFO  | FullSyncTargetManager | No sync target, waiting for peers. Current peers: 0
2022-08-01 15:10:00.842+05:30 | main | INFO  | Runner | Ethereum main loop is up.
2022-08-01 15:10:05.833+05:30 | EthScheduler-Timer-0 | INFO  | FullSyncTargetManager | No sync target, waiting for peers. Current peers: 0
2022-08-01 15:10:10.318+05:30 | nioEventLoopGroup-3-2 | INFO  | FullSyncTargetManager | No sync target, waiting for peers. Current peers: 2
2022-08-01 15:10:10.623+05:30 | nioEventLoopGroup-3-4 | INFO  | FullSyncTargetManager | No sync target, waiting for peers. Current peers: 3
2022-08-01 15:10:15.624+05:30 | EthScheduler-Timer-0 | INFO  | FullSyncTargetManager | No sync target, waiting for peers. Current peers: 3
